/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y
0,0.9999999299832329,0,-0.04537543438779135
0.02,0.9999999069181642,0.02,-0.05544897209445559
0.04,0.9999998636521448,0.04,-0.06522530948803892
0.06,0.9999997824810022,0.06,-0.07471750389724742
0.08,0.9999996299555207,0.08,-0.08393582194669397
0.1,0.9999993427274511,0.1,-0.09288759007143278
0.12,0.9999988005500582,0.12,-0.1015767569248957
0.14,0.9999977747072175,0.14,-0.1100030903552347
0.16,0.9999958313585844,0.16,-0.1181608667697049
0.18,0.999992147658753,0.18,-0.1260370022268875
0.2,0.9999851607771605,0.2,-0.1336088533105576
0.22,0.9999719092883578,0.22,-0.1408422452252076
0.24,0.999946799087135,0.24,-0.1476901872742034
0.26,0.9998993118093215,0.26,-0.1540920402792253
0.28,0.9998097873321689,0.28,-0.1599726068858772
0.3,0.9996417154718069,0.3,-0.1652418035823479
0.32,0.999327653886714,0.32,-0.1697973802514351
0.34,0.9987431711410358,0.34,-0.1735334873071129
0.36,0.9976569354569489,0.36,-0.1763556194197997
0.3800000000000001,0.9956284807182892,0.3800000000000001,-0.1781984132464934
0.4000000000000001,0.9917730009525312,0.4000000000000001,-0.179039767558935
0.4200000000000001,0.9840579357791164,0.4200000000000001,-0.1789051138148444
0.4400000000000001,0.9664669365080794,0.4400000000000001,-0.1778639881125071
0.4600000000000001,0.8956044917526579,0.4600000000000001,-0.176013732245696
0.4800000000000001,0.6005010822506369,0.4800000000000001,-0.1734671213530227
0.5000000000000001,0.4832416748956309,0.5000000000000001,-0.1703395770392044
0.5200000000000001,0.4405194255269552,0.5200000000000001,-0.1667417234841429
0.5400000000000001,0.4128959487259137,0.5400000000000001,-0.1627768058023693
0.5600000000000002,0.3908620942787804,0.5600000000000002,-0.1585414354211392
0.5800000000000002,0.3714581171540821,0.5800000000000002,-0.1541268738638362
0.6000000000000002,0.3533330818092227,0.6000000000000002,-0.1496188519492045
0.6200000000000002,0.3359018858545075,0.6200000000000002,-0.1450943781691538
0.6400000000000002,0.3188832211974464,0.6400000000000002,-0.1406181343477403
0.6600000000000003,0.302154623632568,0.6600000000000003,-0.1362406425673467
0.6800000000000003,0.2856808452539432,0.6800000000000003,-0.1319989109749201
0.7000000000000003,0.2694768626853538,0.7000000000000003,-0.1279185305570117
0.7200000000000003,0.2535887576882095,0.7200000000000003,-0.1240160482594262
0.7400000000000003,0.2380858568730088,0.7400000000000003,-0.1203010284774933
0.7600000000000003,0.2230633091891064,0.7600000000000003,-0.1167776871725976
0.7800000000000004,0.2086581852213006,0.7800000000000004,-0.1134461707652587
0.8000000000000004,0.1950761193744217,0.8000000000000004,-0.1103035739397118
0.8200000000000004,0.182584985921244,0.8200000000000004,-0.1073447610196383
0.8400000000000004,0.1714064298592048,0.8400000000000004,-0.1045630282995395
0.8600000000000004,0.1615898373129255,0.8600000000000004,-0.1019506315275978
0.8800000000000004,0.1530284504856072,0.8800000000000004,-0.09949919873404485
0.9000000000000005,0.1455541930518588,0.9000000000000005,-0.09720004739486186
0.9200000000000005,0.1389998762853933,0.9200000000000005,-0.09504442347100013
0.9400000000000005,0.1332204161707288,0.9400000000000005,-0.09302367771632127
0.9600000000000005,0.1280955206806042,0.9600000000000005,-0.09112939223065195
0.9800000000000005,0.1235267389411953,0.9800000000000005,-0.08935346802282094
1,0.1194335320179739,1,-0.08768818215022085
