/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y
0,1.199998588562524,0,0.2081022881444397
0.02,1.199997717857572,0.02,0.1946426161703992
0.04,1.19999627904226,0.04,0.1815586681455525
0.06,1.199993906003004,0.06,0.1688325849467588
0.08,1.199990005421277,0.08,0.1564475160615663
0.1,1.199983619213418,0.1,0.144387664470935
0.12,1.199973208308557,0.12,0.1326383144795932
0.14,1.199956325900416,0.14,0.1211858118439871
0.16,1.199929126428682,0.16,0.1100175119451412
0.18,1.199885648929767,0.18,0.09912171078785002
0.2,1.199816802588976,0.2,0.08848757966562669
0.22,1.199708978834204,0.22,0.07810514728397205
0.24,1.199542217473085,0.24,0.06796543011392159
0.26,1.199287855590253,0.26,0.05806091343098511
0.28,1.198905564113001,0.28,0.04838666745903115
0.3,1.198339592228888,0.3,0.03894224999073331
0.32,1.197513859547859,0.32,0.029734169976664
0.34,1.196325243953589,0.34,0.02077844341610024
0.36,1.194634002985494,0.36,0.01210269452135286
0.3800000000000001,1.192249673675295,0.3800000000000001,0.003747038678290253
0.4000000000000001,1.188909753614118,0.4000000000000001,-0.004235563416156257
0.4200000000000001,1.184246233512215,0.4200000000000001,-0.01177857549733466
0.4400000000000001,1.177729717132116,0.4400000000000001,-0.01882144238330738
0.4600000000000001,1.168567060268999,0.4600000000000001,-0.02530832461536929
0.4800000000000001,1.155488543132959,0.4800000000000001,-0.03119274105685161
0.5000000000000001,1.136223187926248,0.5000000000000001,-0.03644436042026192
0.5200000000000001,1.105841309001694,0.5200000000000001,-0.04105335349008664
0.5400000000000001,1.047549243142146,0.5400000000000001,-0.04502984928064509
0.5600000000000002,0.8821904958140275,0.5600000000000002,-0.04840015262717404
0.5800000000000002,0.6949242724145057,0.5800000000000002,-0.05119949932420678
0.6000000000000002,0.6171351307358897,0.6000000000000002,-0.05346739548437585
0.6200000000000002,0.5702894770072272,0.6200000000000002,-0.05524407048432795
0.6400000000000002,0.5346430486002802,0.6400000000000002,-0.05656934555242057
0.6600000000000003,0.5049016224944318,0.6600000000000003,-0.05748270454555636
0.6800000000000003,0.4787364818032799,0.6800000000000003,-0.05802491686859178
0.7000000000000003,0.4550767632808738,0.7000000000000003,-0.05823872028257154
0.7200000000000003,0.433310197086216,0.7200000000000003,-0.05816921038760507
0.7400000000000003,0.4130543887203212,0.7400000000000003,-0.05786311352488759
0.7600000000000003,0.3940532647188989,0.7600000000000003,-0.05736715192783976
0.7800000000000004,0.376128132690526,0.7800000000000004,-0.05672594549809915
0.8000000000000004,0.3591540808730488,0.8000000000000004,-0.0559800183876964
0.8200000000000004,0.3430491821633574,0.8200000000000004,-0.05516437042506719
0.8400000000000004,0.3277713600431382,0.8400000000000004,-0.05430782224539641
0.8600000000000004,0.3133205669852449,0.8600000000000004,-0.05343308777705844
0.8800000000000004,0.2997412200441513,0.8800000000000004,-0.05255736853699478
0.9000000000000005,0.2871108752369762,0.9000000000000005,-0.051693222519438
0.9200000000000005,0.275501964625767,0.9200000000000005,-0.05084950028233694
0.9400000000000005,0.2649362744941887,0.9400000000000005,-0.05003221182279566
0.9600000000000005,0.2553722042842168,0.9600000000000005,-0.0492452547373225
0.9800000000000005,0.2467262863419895,0.9800000000000005,-0.048490983099704
1,0.2389002772493372,1,-0.04777062744655106
