/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y
0,1.199998588562524,0,0.0756090745475632
0.02,1.199997717857572,0.02,0.06442392924692045
0.04,1.19999627904226,0.04,0.05346744616984694
0.06,1.199993906003004,0.06,0.04273223504392042
0.08,1.199990005421277,0.08,0.03221141364942702
0.1,1.199983619213418,0.1,0.02189865721985258
0.12,1.199973208308557,0.12,0.01178829838647578
0.14,1.199956325900416,0.14,0.001875492510951876
0.16,1.199929126428682,0.16,-0.007843254123944578
0.18,1.199885648929767,0.18,-0.01736884121626414
0.2,1.199816802588976,0.2,-0.02669883045541265
0.22,1.199708978834204,0.22,-0.03582566749255357
0.24,1.199542217473085,0.24,-0.0447347990449311
0.26,1.199287855590253,0.26,-0.05340271446978764
0.28,1.198905564113001,0.28,-0.06179503512680947
0.3,1.198339592228888,0.3,-0.06986490505475017
0.32,1.197513859547859,0.32,-0.0775522485123004
0.34,1.196325243953589,0.34,-0.08478506189401511
0.36,1.194634002985494,0.36,-0.09148442313453746
0.3800000000000001,1.192249673675295,0.3800000000000001,-0.09757412330518124
0.4000000000000001,1.188909753614118,0.4000000000000001,-0.1029933265923919
0.4200000000000001,1.184246233512215,0.4200000000000001,-0.1077080519489914
0.4400000000000001,1.177729717132116,0.4400000000000001,-0.1117169401113631
0.4600000000000001,1.168567060268999,0.4600000000000001,-0.1150492908168649
0.4800000000000001,1.155488543132959,0.4800000000000001,-0.1177567924076315
0.5000000000000001,1.136223187926248,0.5000000000000001,-0.119902479987661
0.5200000000000001,1.105841309001694,0.5200000000000001,-0.1215505261912584
0.5400000000000001,1.047549243142146,0.5400000000000001,-0.1227590144036116
0.5600000000000002,0.8821904958140275,0.5600000000000002,-0.1235766247114866
0.5800000000000002,0.6949242724145061,0.5800000000000002,-0.1240414780902476
0.6000000000000002,0.6171351307358897,0.6000000000000002,-0.1241827529086716
0.6200000000000002,0.5702894770072272,0.6200000000000002,-0.1240230213350219
0.6400000000000002,0.5346430486002802,0.6400000000000002,-0.1235812562527708
0.6600000000000003,0.5049016224944318,0.6600000000000003,-0.1228757976362131
0.6800000000000003,0.4787364818032801,0.6800000000000003,-0.1219271938652974
0.7000000000000003,0.4550767632808738,0.7000000000000003,-0.1207599672312462
0.7200000000000003,0.4333101970862159,0.7200000000000003,-0.1194033421750196
0.7400000000000003,0.4130543887203212,0.7400000000000003,-0.1178906533753899
0.7600000000000003,0.3940532647188989,0.7600000000000003,-0.1162576622380182
0.7800000000000004,0.376128132690526,0.7800000000000004,-0.1145402704023576
0.8000000000000004,0.3591540808730488,0.8000000000000004,-0.1127722359021466
0.8200000000000004,0.3430491821633574,0.8200000000000004,-0.1109833963086052
0.8400000000000004,0.3277713600431382,0.8400000000000004,-0.1091986552843793
0.8600000000000004,0.3133205669852449,0.8600000000000004,-0.1074377263751938
0.8800000000000004,0.2997412200441513,0.8800000000000004,-0.1057154533555656
0.9000000000000005,0.2871108752369762,0.9000000000000005,-0.1040424683553039
0.9200000000000005,0.275501964625767,0.9200000000000005,-0.1024259765168754
0.9400000000000005,0.2649362744941887,0.9400000000000005,-0.1008705203724672
0.9600000000000005,0.2553722042842168,0.9600000000000005,-0.099378642213792
0.9800000000000005,0.2467262863419895,0.9800000000000005,-0.09795141269127662
1,0.2389002772493372,1,-0.09658882712641965
