/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y
0,0.01535988549729781,0,1.199999918423278
0.02,0.003784970085748105,0.02,1.199999900584902
0.04,-0.007409776722032526,0.04,1.199999869828482
0.06,-0.01824794661932693,0.06,1.199999817213569
0.08,-0.02875007664871721,0.08,1.199999727448504
0.1,-0.03893401584370598,0.1,1.19999957436279
0.12,-0.0488151398976746,0.12,1.199999313121005
0.14,-0.05840648186919738,0.14,1.199998866817728
0.16,-0.0677187634466359,0.16,1.199998103375599
0.18,-0.07676029660872205,0.18,1.199996795704197
0.2,-0.08553669351406332,0.2,1.199994552971472
0.22,-0.09405028848856155,0.22,1.199990702077238
0.24,-0.1022991480520159,0.24,1.199984088166318
0.26,-0.110275545059953,0.26,1.199972735176172
0.28,-0.1179638718173787,0.28,1.199953254053655
0.3,-0.1253381899171071,0.3,1.19991985180048
0.32,-0.1323598969016522,0.32,1.199862656537274
0.34,-0.1389761549130415,0.34,1.19976490950049
0.36,-0.1451197220294738,0.36,1.199598282768626
0.3800000000000001,-0.1507108918194107,0.3800000000000001,1.199315092737756
0.4000000000000001,-0.1556624110261208,0.4000000000000001,1.198835308694018
0.4200000000000001,-0.1598878251780069,0.4200000000000001,1.198024570122896
0.4400000000000001,-0.1633121845101444,0.4400000000000001,1.196655814857968
0.4600000000000001,-0.1658823229660738,0.4600000000000001,1.194338456742784
0.4800000000000001,-0.1675736387874835,0.4800000000000001,1.190375260404496
0.5000000000000001,-0.1683919139627942,0.5000000000000001,1.183428590252746
0.5200000000000001,-0.1683705457810179,0.5200000000000001,1.170461084310072
0.5400000000000001,-0.1675673787259616,0.5400000000000001,1.141992448527316
0.5600000000000002,-0.1660571301095444,0.5600000000000002,1.015170195846451
0.5800000000000002,-0.1639281621017713,0.5800000000000002,0.663977716762287
0.6000000000000002,-0.1612777616641434,0.6000000000000002,0.5633043694133898
0.6200000000000002,-0.1582080052081094,0.6200000000000002,0.5201478145954435
0.6400000000000002,-0.1548212942637176,0.6400000000000002,0.4903059745148433
0.6600000000000003,-0.1512150850209077,0.6600000000000003,0.466223041852819
0.6800000000000003,-0.147477177259046,0.6800000000000003,0.4448861251647748
0.7000000000000003,-0.143681956602722,0.7000000000000003,0.4251169675160073
0.7200000000000003,-0.1398892981640923,0.7200000000000003,0.4063022757055078
0.7400000000000003,-0.1361454451674168,0.7400000000000003,0.3881192278483001
0.7600000000000003,-0.1324849702556048,0.7600000000000003,0.3704019700725372
0.7800000000000004,-0.1289329701497239,0.7800000000000004,0.3530741378605056
0.8000000000000004,-0.1255070379948906,0.8000000000000004,0.3361124524033483
0.8200000000000004,-0.1222188685867494,0.8200000000000004,0.3195263654840462
0.8400000000000004,-0.1190755127568581,0.8400000000000004,0.303346868628907
0.8600000000000004,-0.1160803564051266,0.8600000000000004,0.2876214278917907
0.8800000000000004,-0.1132339047367515,0.8800000000000004,0.2724143026998558
0.9000000000000005,-0.1105344323132421,0.9000000000000005,0.2578129839919013
0.9200000000000005,-0.1079785334884094,0.9200000000000005,0.2439399564453191
0.9400000000000005,-0.1055615878576622,0.9400000000000005,0.2309570925275288
0.9600000000000005,-0.1032781459395483,0.9600000000000005,0.2190317574317383
0.9800000000000005,-0.1011222392907349,0.9800000000000005,0.2082631903418174
1,-0.09908762192665044,1,0.198641049626404
