/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y
0,1.199998588562524,0,0.3652182516146766
0.02,1.199997717857572,0.02,0.3470239067550787
0.04,1.19999627904226,0.04,0.3295819067394542
0.06,1.199993906003004,0.06,0.3128589437324761
0.08,1.199990005421277,0.08,0.2968125547539928
0.1,1.199983619213418,0.1,0.2813978716496499
0.12,1.199973208308557,0.12,0.2665711510746547
0.14,1.199956325900416,0.14,0.2522913715522628
0.16,1.199929126428682,0.16,0.2385207961632372
0.18,1.199885648929767,0.18,0.2252249995943706
0.2,1.199816802588976,0.2,0.2123726265463871
0.22,1.199708978834204,0.22,0.1999350253161377
0.24,1.199542217473085,0.24,0.1878858383598974
0.26,1.199287855590253,0.26,0.1762006019758706
0.28,1.198905564113001,0.28,0.1648563926827976
0.3,1.198339592228888,0.3,0.153831546370411
0.32,1.197513859547859,0.32,0.1431054654019984
0.34,1.196325243953589,0.34,0.1326585253090628
0.36,1.194634002985494,0.36,0.1224721192774279
0.3800000000000001,1.192249673675295,0.3800000000000001,0.1125289794141599
0.4000000000000001,1.188909753614118,0.4000000000000001,0.1028141740841364
0.4200000000000001,1.184246233512215,0.4200000000000001,0.09331775446461364
0.4400000000000001,1.177729717132116,0.4400000000000001,0.08404092711558558
0.4600000000000001,1.168567060268999,0.4600000000000001,0.07500726714634666
0.4800000000000001,1.155488543132959,0.4800000000000001,0.06627384267523143
0.5000000000000001,1.136223187926248,0.5000000000000001,0.0579276529208999
0.5200000000000001,1.105841309001694,0.5200000000000001,0.05006447881614977
0.5400000000000001,1.047549243142146,0.5400000000000001,0.04276834998245519
0.5600000000000002,0.8821904958140275,0.5600000000000002,0.03610113167046014
0.5800000000000002,0.6949242724145061,0.5800000000000002,0.03010114913529759
0.6000000000000002,0.6171351307358897,0.6000000000000002,0.02478377579862431
0.6200000000000002,0.5702894770072272,0.6200000000000002,0.02014406196546741
0.6400000000000002,0.5346430486002802,0.6400000000000002,0.01615952771538415
0.6600000000000003,0.5049016224944318,0.6600000000000003,0.01279393186406548
0.6800000000000003,0.4787364818032801,0.6800000000000003,0.009998887085170253
0.7000000000000003,0.4550767632808738,0.7000000000000003,0.007717520728634339
0.7200000000000003,0.4333101970862159,0.7200000000000003,0.005887280519008564
0.7400000000000003,0.4130543887203213,0.7400000000000003,0.004443208413258705
0.7600000000000003,0.394053264718899,0.7600000000000003,0.003321297953364304
0.7800000000000004,0.3761281326905259,0.7800000000000004,0.002461555456286141
0.8000000000000004,0.3591540808730491,0.8000000000000004,0.001810347468534919
0.8200000000000004,0.3430491821633575,0.8200000000000004,0.001321767188968096
0.8400000000000004,0.3277713600431383,0.8400000000000004,0.0009579993517577769
0.8600000000000004,0.3133205669852449,0.8600000000000004,0.0006888785653175541
0.8800000000000004,0.2997412200441513,0.8800000000000004,0.0004909411609224918
0.9000000000000005,0.2871108752369764,0.9000000000000005,0.0003462629723413604
0.9200000000000005,0.275501964625767,0.9200000000000005,0.0002413013080074045
0.9400000000000005,0.2649362744941888,0.9400000000000005,0.0001658698851463068
0.9600000000000005,0.2553722042842168,0.9600000000000005,0.0001123017644838074
0.9800000000000005,0.2467262863419895,0.9800000000000005,7.480621909485486e-05
1,0.2389002772493372,1,4.899724516209588e-05
