/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y
0,0.7999998825044723,0,0.3741264383165158
0.02,0.7999998345188428,0.02,0.2901782054551837
0.04,0.7999997482167842,0.04,0.2106646934884923
0.06,0.7999995892115708,0.06,0.1449957404260977
0.08,0.7999992897637024,0.08,0.1031421172025696
0.1,0.7999987142287245,0.1,0.07654671818370318
0.12,0.7999975866057777,0.12,0.05768271441549289
0.14,0.7999953366186591,0.14,0.0436739954196809
0.16,0.7999907687915003,0.16,0.03299226898443369
0.18,0.7999813429928301,0.18,0.02480435549821337
0.2,0.7999615933785148,0.2,0.01853777170005437
0.22,0.7999196150616622,0.22,0.01376457581775445
0.24,0.799829208838556,0.24,0.01015025732350623
0.26,0.7996320293478962,0.26,0.007429600143098285
0.28,0.799195839076142,0.28,0.005393130334633615
0.3,0.798213715408826,0.3,0.003877321103362961
0.32,0.7959426696743023,0.32,0.002756108036933794
0.34,0.7903740864760129,0.34,0.001933259108983424
0.36,0.7746481395484917,0.36,0.001335315282845268
0.3800000000000001,0.6773625062212244,0.3800000000000001,0.0009064672021971229
0.4000000000000001,0.3965403872310535,0.4000000000000001,0.0006037980101698632
0.4200000000000001,0.3395199294412911,0.4200000000000001,0.0003941883518504135
0.4400000000000001,0.3120081303638678,0.4400000000000001,0.0002520702380613788
0.4600000000000001,0.2912795032385132,0.4600000000000001,0.000157867817714526
0.4800000000000001,0.2731439087624226,0.4800000000000001,9.686396619986812e-05
0.5000000000000001,0.2560622708849269,0.5000000000000001,5.826182525751752e-05
0.5200000000000001,0.239509464337897,0.5200000000000001,3.438078402316891e-05
0.5400000000000001,0.2232644086736793,0.5400000000000001,1.992508922933692e-05
0.5600000000000002,0.207240260519322,0.5600000000000002,1.135506131271984e-05
0.5800000000000002,0.1914101082672921,0.5800000000000002,6.373735555953083e-06
0.6000000000000002,0.1757771865354231,0.6000000000000002,3.531499515482224e-06
0.6200000000000002,0.160366723337533,0.6200000000000002,1.937212241357708e-06
0.6400000000000002,0.1452328797618088,0.6400000000000002,1.056490940886005e-06
0.6600000000000003,0.1304872457301031,0.6600000000000003,5.767543982204819e-07
0.6800000000000003,0.1163668007969808,0.6800000000000003,3.182164655665025e-07
0.7000000000000003,0.1033098101485878,0.7000000000000003,1.79719853756561e-07
0.7200000000000003,0.09181533873379208,0.7200000000000003,1.057147414656743e-07
0.7400000000000003,0.08207543192339813,0.7400000000000003,6.610577461544614e-08
0.7600000000000003,0.07393481183686108,0.7600000000000003,4.476468126101415e-08
0.7800000000000004,0.06712442664618468,0.7800000000000004,3.311852237751845e-08
0.8000000000000004,0.06139433474154081,0.8000000000000004,2.663499372181456e-08
0.8200000000000004,0.05654090533116007,0.8200000000000004,2.292436617644911e-08
0.8400000000000004,0.05240268405245607,0.8400000000000004,2.072648718977013e-08
0.8600000000000004,0.04885170380040868,0.8600000000000004,1.937485196423208e-08
0.8800000000000004,0.04578593532758234,0.8800000000000004,1.851474240500585e-08
0.9000000000000005,0.04312348597756931,0.9000000000000005,1.795548619180336e-08
0.9200000000000005,0.0407982222579874,0.9200000000000005,1.759310097840748e-08
0.9400000000000005,0.03875644311453725,0.9400000000000005,1.736975508145621e-08
0.9600000000000005,0.03695432210608506,0.9600000000000005,1.72524629700063e-08
0.9800000000000005,0.03535592075986902,0.9800000000000005,1.722183716092079e-08
1,0.03393163447201097,1,1.726610995590237e-08
