leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) Y
0.9999998721846364,0,0,0.9999998721846364
0.9999998475403504,0.02,0.02,0.9999998475403504
0.9999998055211768,0.04,0.04,0.9999998055211768
0.9999997331492245,0.06,0.06,0.9999997331492245
0.9999996076246266,0.08,0.08,0.9999996076246266
0.9999993883625444,0.1,0.1,0.9999993883625444
0.9999990026527643,0.12,0.12,0.9999990026527643
0.9999983192683637,0.14,0.14,0.9999983192683637
0.999997099452172,0.16,0.16,0.999997099452172
0.9999949049728307,0.18,0.18,0.9999949049728307
0.9999909238275048,0.2,0.2,0.9999909238275048
0.9999836362673369,0.22,0.22,0.9999836362673369
0.9999701768433373,0.24,0.24,0.9999701768433373
0.999945095889007,0.26,0.26,0.999945095889007
0.9998978986733058,0.28,0.28,0.9998978986733058
0.9998081948681985,0.3,0.3,0.9998081948681985
0.9996360107723381,0.32,0.32,0.9996360107723381
0.9993022860791267,0.34,0.34,0.9993022860791267
0.9986490353822264,0.36,0.36,0.9986490353822264
0.9973554596923396,0.3800000000000001,0.3800000000000001,0.9973554596923396
0.9947492279954864,0.4000000000000001,0.4000000000000001,0.9947492279954864
0.9892942623906558,0.4200000000000001,0.4200000000000001,0.9892942623906558
0.9768566039795725,0.4400000000000001,0.4400000000000001,0.9768566039795725
0.9370720186163692,0.4600000000000001,0.4600000000000001,0.9370720186163692
0.6605555698975309,0.4800000000000001,0.4800000000000001,0.6605555698975309
0.4750249748393688,0.5000000000000001,0.5000000000000001,0.4750249748393688
0.4292229493050308,0.5200000000000001,0.5200000000000001,0.4292229493050308
0.4010841020617006,0.5400000000000001,0.5400000000000001,0.4010841020617006
0.378760660908564,0.5600000000000002,0.5600000000000002,0.378760660908564
0.3591731735605667,0.5800000000000002,0.5800000000000002,0.3591731735605667
0.340944707455325,0.6000000000000002,0.6000000000000002,0.340944707455325
0.3234830246614765,0.6200000000000002,0.6200000000000002,0.3234830246614765
0.3064890998328278,0.6400000000000002,0.6400000000000002,0.3064890998328278
0.2898146430838831,0.6600000000000003,0.6600000000000003,0.2898146430838831
0.2733941757717163,0.6800000000000003,0.6800000000000003,0.2733941757717163
0.2572113087829475,0.7000000000000003,0.7000000000000003,0.2572113087829475
0.2412817785573904,0.7200000000000003,0.7200000000000003,0.2412817785573904
0.2256460779317623,0.7400000000000003,0.7400000000000003,0.2256460779317623
0.2103700283446463,0.7600000000000003,0.7600000000000003,0.2103700283446463
0.1955563578859976,0.7800000000000004,0.7800000000000004,0.1955563578859976
0.1813731494098006,0.8000000000000004,0.8000000000000004,0.1813731494098006
0.1680855151181849,0.8200000000000004,0.8200000000000004,0.1680855151181849
0.1560081497297187,0.8400000000000004,0.8400000000000004,0.1560081497297187
0.1453344061538203,0.8600000000000004,0.8600000000000004,0.1453344061538203
0.1360427422840311,0.8800000000000004,0.8800000000000004,0.1360427422840311
0.1279798822000142,0.9000000000000005,0.9000000000000005,0.1279798822000142
0.1209630281822539,0.9200000000000005,0.9200000000000005,0.1209630281822539
0.1148252847125939,0.9400000000000005,0.9400000000000005,0.1148252847125939
0.1094262208334691,0.9600000000000005,0.9600000000000005,0.1094262208334691
0.1046505448805091,0.9800000000000005,0.9800000000000005,0.1046505448805091
0.1004040411774149,1,1,0.1004040411774149
