leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) Y
0.9999998789041291,0,0,0.9999998789041291
0.9999998557819021,0.02,0.02,0.9999998557819021
0.9999998124248736,0.04,0.04,0.9999998124248736
0.9999997310145781,0.06,0.06,0.9999997310145781
0.9999995780948507,0.08,0.08,0.9999995780948507
0.9999992902965248,0.1,0.1,0.9999992902965248
0.999998747343735,0.12,0.12,0.999998747343735
0.9999977204821219,0.14,0.14,0.9999977204821219
0.9999957758212928,0.16,0.16,0.9999957758212928
0.9999920904497507,0.18,0.18,0.9999920904497507
0.9999851014486389,0.2,0.2,0.9999851014486389
0.9999718472733062,0.22,0.22,0.9999718472733062
0.9999467336566625,0.24,0.24,0.9999467336566625
0.9998992420148758,0.26,0.26,0.9998992420148758
0.9998097119278908,0.28,0.28,0.9998097119278908
0.9996416328052912,0.3,0.3,0.9996416328052912
0.9993275617299621,0.32,0.32,0.9993275617299621
0.9987430664048781,0.34,0.34,0.9987430664048781
0.9976568136689328,0.36,0.36,0.9976568136689328
0.9956283349521161,0.3800000000000001,0.3800000000000001,0.9956283349521161
0.9917728192117224,0.4000000000000001,0.4000000000000001,0.9917728192117224
0.9840576920791354,0.4200000000000001,0.4200000000000001,0.9840576920791354
0.9664665459647733,0.4400000000000001,0.4400000000000001,0.9664665459647733
0.8956032768600736,0.4600000000000001,0.4600000000000001,0.8956032768600736
0.6005009309057904,0.4800000000000001,0.4800000000000001,0.6005009309057904
0.4832417101248859,0.5000000000000001,0.5000000000000001,0.4832417101248859
0.4405194560598544,0.5200000000000001,0.5200000000000001,0.4405194560598544
0.4128959742229765,0.5400000000000001,0.5400000000000001,0.4128959742229765
0.3908621161612263,0.5600000000000002,0.5600000000000002,0.3908621161612263
0.3714581364152434,0.5800000000000002,0.5800000000000002,0.3714581364152434
0.3533330991106787,0.6000000000000002,0.6000000000000002,0.3533330991106787
0.3359019016860581,0.6200000000000002,0.6200000000000002,0.3359019016860581
0.3188832359380624,0.6400000000000002,0.6400000000000002,0.3188832359380624
0.3021546375830143,0.6600000000000003,0.6600000000000003,0.3021546375830143
0.2856808586553167,0.6800000000000003,0.6800000000000003,0.2856808586553167
0.2694768757305283,0.7000000000000003,0.7000000000000003,0.2694768757305283
0.2535887705289742,0.7200000000000003,0.7200000000000003,0.2535887705289742
0.2380858696231139,0.7400000000000003,0.7400000000000003,0.2380858696231139
0.2230633219210298,0.7600000000000003,0.7600000000000003,0.2230633219210298
0.2086581979523641,0.7800000000000004,0.7800000000000004,0.2086581979523641
0.1950761320457685,0.8000000000000004,0.8000000000000004,0.1950761320457685
0.1825849984091607,0.8200000000000004,0.8200000000000004,0.1825849984091607
0.1714064420542787,0.8400000000000004,0.8400000000000004,0.1714064420542787
0.1615898491822871,0.8600000000000004,0.8600000000000004,0.1615898491822871
0.1530284620561543,0.8800000000000004,0.8800000000000004,0.1530284620561543
0.1455542043730854,0.9000000000000005,0.9000000000000005,0.1455542043730854
0.1389998874091923,0.9200000000000005,0.9200000000000005,0.1389998874091923
0.1332204271446142,0.9400000000000005,0.9400000000000005,0.1332204271446142
0.1280955315465661,0.9600000000000005,0.9600000000000005,0.1280955315465661
0.1235267497369359,0.9800000000000005,0.9800000000000005,0.1235267497369359
0.1194335427674909,1,1,0.1194335427674909
