/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
1.994552418639e-09,0.4552418639089679,1.994552418639e-09,0.5447581360910321,1.994552418639e-09,1.575219852398985e-08,1.994552418639e-09,0.9999994556932159,1.994552418639e-09,1,1.994552418639e-09,0,1.994552418639e-09,6.811721929385906e-10
1.997276209319e-09,0.727620931954484,1.997276209319e-09,0.272379068045516,1.997276209319e-09,4.344151774573561e-08,1.997276209319e-09,0.9999996083942622,1.997276209319e-09,1,1.997276209319e-09,0,1.997276209319e-09,-7.736110362528241e-10
2e-09,1,2e-09,0,2e-09,7.398901157712226e-08,2e-09,0.9999996773980684,2e-09,1,2e-09,0,2e-09,6.886856854438078e-10
2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,-5.152225519228427e-07,2.000083416666e-09,1.000000320986712,2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,6.439411453306036e-10
2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.719502086210748e-07,2.00025025e-09,1.000000334036189,2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.816041762905279e-10
2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,-3.791242433798708e-07,2.000583916666e-09,1.00000031151173,2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,5.570663258878567e-10
2.001151006877e-09,1,2.001151006877e-09,0,2.001151006877e-09,-2.72178664535985e-07,2.001151006877e-09,1.000000305316651,2.001151006877e-09,1,2.001151006877e-09,0,2.001151006877e-09,-4.596757284224995e-10
2.0022851873e-09,1,2.0022851873e-09,0,2.0022851873e-09,-1.237046569059331e-07,2.0022851873e-09,1.000000224714146,2.0022851873e-09,1,2.0022851873e-09,0,2.0022851873e-09,5.055298063240024e-10
2.004553548145e-09,1,2.004553548145e-09,0,2.004553548145e-09,-1.156328593903053e-08,2.004553548145e-09,1.000000102755862,2.004553548145e-09,1,2.004553548145e-09,0,2.004553548145e-09,-4.861283467924873e-10
2.009090269835e-09,1,2.009090269835e-09,0,2.009090269835e-09,4.898820847655401e-08,2.009090269835e-09,0.9999999064315317,2.009090269835e-09,1,2.009090269835e-09,0,2.009090269835e-09,4.604685929077297e-10
2.018163713215e-09,1,2.018163713215e-09,0,2.018163713215e-09,6.454988264775013e-08,2.018163713215e-09,0.9999998080433198,2.018163713215e-09,1,2.018163713215e-09,0,2.018163713215e-09,-5.088793130088377e-10
2.036310599975e-09,1,2.036310599975e-09,0,2.036310599975e-09,6.977716604272062e-08,2.036310599975e-09,0.9999997795240493,2.036310599975e-09,1,2.036310599975e-09,0,2.036310599975e-09,4.481335953867689e-10
2.072604373494e-09,1,2.072604373494e-09,0,2.072604373494e-09,6.676347888397465e-08,2.072604373494e-09,0.9999997987225435,2.072604373494e-09,1,2.072604373494e-09,0,2.072604373494e-09,-5.085167885375213e-10
2.145191920534e-09,1,2.145191920534e-09,0,2.145191920534e-09,6.931283108898628e-08,2.145191920534e-09,0.9999997810075446,2.145191920534e-09,1,2.145191920534e-09,0,2.145191920534e-09,4.477023859504551e-10
2.290367014613e-09,1,2.290367014613e-09,0,2.290367014613e-09,6.693705011038628e-08,2.290367014613e-09,0.9999997982371989,2.290367014613e-09,1,2.290367014613e-09,0,2.290367014613e-09,-5.082786316900004e-10
2.580717202771e-09,1,2.580717202771e-09,0,2.580717202771e-09,6.923903188423284e-08,2.580717202771e-09,0.9999997811948546,2.580717202771e-09,1,2.580717202771e-09,0,2.580717202771e-09,4.475795711823892e-10
2.99e-09,1,2.99e-09,0,2.99e-09,6.697646983351668e-08,2.99e-09,0.9999997981404511,2.99e-09,1,2.99e-09,0,2.99e-09,-5.082077476143665e-10
2.990005213541e-09,1,2.990005213541e-09,0,2.990005213541e-09,2.131128965909809e-05,2.990005213541e-09,1.000022478657963,2.990005213541e-09,1,2.990005213541e-09,0.0005213541666691376,2.990005213541e-09,7.866719986321643e-07
