leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) Y
0.9999998224743449,0,0,0.9999998224743449
0.9999997931198398,0.02,0.02,0.9999997931198398
0.9999997376039526,0.04,0.04,0.9999997376039526
0.9999996322316368,0.06,0.06,0.9999996322316368
0.9999994314998819,0.08,0.08,0.9999994314998819
0.9999990469882071,0.1,0.1,0.9999990469882071
0.9999983058074641,0.12,0.12,0.9999983058074641
0.9999968675973586,0.14,0.14,0.9999968675973586
0.9999940601623606,0.16,0.16,0.9999940601623606
0.9999885476245183,0.18,0.18,0.9999885476245183
0.9999776530434233,0.2,0.2,0.9999776530434233
0.9999559813262456,0.22,0.22,0.9999559813262456
0.9999126007098277,0.24,0.24,0.9999126007098277
0.9998252702813618,0.26,0.26,0.9998252702813618
0.999648623925351,0.28,0.28,0.999648623925351
0.9992899722128944,0.3,0.3,0.9992899722128944
0.9985593088292465,0.32,0.32,0.9985593088292465
0.9970625004103024,0.34,0.34,0.9970625004103024
0.9939518036992424,0.36,0.36,0.9939518036992424
0.9871685876715985,0.3800000000000001,0.3800000000000001,0.9871685876715985
0.9702332240632643,0.4000000000000001,0.4000000000000001,0.9702332240632643
0.8898277429079074,0.4200000000000001,0.4200000000000001,0.8898277429079074
0.560036332100443,0.4400000000000001,0.4400000000000001,0.560036332100443
0.2190480145092189,0.4600000000000001,0.4600000000000001,0.2190480145092189
0.04220889387370521,0.4800000000000001,0.4800000000000001,0.04220889387370521
0.01655738654642658,0.5000000000000001,0.5000000000000001,0.01655738654642658
0.007924377776232158,0.5200000000000001,0.5200000000000001,0.007924377776232158
0.003986848090696462,0.5400000000000001,0.5400000000000001,0.003986848090696462
0.002039456608882958,0.5600000000000002,0.5600000000000002,0.002039456608882958
0.0010450679876235,0.5800000000000002,0.5800000000000002,0.0010450679876235
0.0005336899386022966,0.6000000000000002,0.6000000000000002,0.0005336899386022966
0.0002700962420670755,0.6200000000000002,0.6200000000000002,0.0002700962420670755
0.0001352654875895245,0.6400000000000002,0.6400000000000002,0.0001352654875895245
6.704995844604833e-05,0.6600000000000003,0.6600000000000003,6.704995844604833e-05
3.295130687146691e-05,0.6800000000000003,0.6800000000000003,3.295130687146691e-05
1.610023426300409e-05,0.7000000000000003,0.7000000000000003,1.610023426300409e-05
7.851983253700668e-06,0.7200000000000003,0.7200000000000003,7.851983253700668e-06
3.842883629488784e-06,0.7400000000000003,0.7400000000000003,3.842883629488784e-06
1.902428202490396e-06,0.7600000000000003,0.7600000000000003,1.902428202490396e-06
9.645030793840897e-07,0.7800000000000004,0.7800000000000004,9.645030793840897e-07
5.104669798656522e-07,0.8000000000000004,0.8000000000000004,5.104669798656522e-07
2.896493300394771e-07,0.8200000000000004,0.8200000000000004,2.896493300394771e-07
1.81339385558754e-07,0.8400000000000004,0.8400000000000004,1.81339385558754e-07
1.274864579602232e-07,0.8600000000000004,0.8600000000000004,1.274864579602232e-07
1.001771301950176e-07,0.8800000000000004,0.8800000000000004,1.001771301950176e-07
8.589147092926456e-08,0.9000000000000005,0.9000000000000005,8.589147092926456e-08
7.809676200241239e-08,0.9200000000000005,0.9200000000000005,7.809676200241239e-08
7.36248671454716e-08,0.9400000000000005,0.9400000000000005,7.36248671454716e-08
7.092566487284742e-08,0.9600000000000005,0.9600000000000005,7.092566487284742e-08
6.923676518116482e-08,0.9800000000000005,0.9800000000000005,6.923676518116482e-08
6.809981703512702e-08,1,1,6.809981703512702e-08
