leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) Y
0.9999998456222932,0,0,0.9999998456222932
0.999999817964764,0.02,0.02,0.999999817964764
0.9999997704646436,0.04,0.04,0.9999997704646436
0.9999996876331424,0.06,0.06,0.9999996876331424
0.9999995413581818,0.08,0.08,0.9999995413581818
0.9999992797320978,0.1,0.1,0.9999992797320978
0.9999988057823963,0.12,0.12,0.9999988057823963
0.9999979360294057,0.14,0.14,0.9999979360294057
0.9999963186232421,0.16,0.16,0.9999963186232421
0.9999932693934185,0.18,0.18,0.9999932693934185
0.9999874391383424,0.2,0.2,0.9999874391383424
0.9999761301802781,0.22,0.22,0.9999761301802781
0.9999538907715483,0.24,0.24,0.9999538907715483
0.999909588418787,0.26,0.26,0.999909588418787
0.999820205942784,0.28,0.28,0.999820205942784
0.9996376969745324,0.3,0.3,0.9996376969745324
0.9992606705889115,0.32,0.32,0.9992606705889115
0.9984718741187004,0.34,0.34,0.9984718741187004
0.9967928895100994,0.36,0.36,0.9967928895100994
0.9930931271794724,0.3800000000000001,0.3800000000000001,0.9930931271794724
0.9843401391652497,0.4000000000000001,0.4000000000000001,0.9843401391652497
0.9579901903859223,0.4200000000000001,0.4200000000000001,0.9579901903859223
0.7796984581126002,0.4400000000000001,0.4400000000000001,0.7796984581126002
0.3792913184825351,0.4600000000000001,0.4600000000000001,0.3792913184825351
0.09633736270104358,0.4800000000000001,0.4800000000000001,0.09633736270104358
0.02386315268882204,0.5000000000000001,0.5000000000000001,0.02386315268882204
0.009834402765631137,0.5200000000000001,0.5200000000000001,0.009834402765631137
0.004388931427659956,0.5400000000000001,0.5400000000000001,0.004388931427659956
0.002013311903788758,0.5600000000000002,0.5600000000000002,0.002013311903788758
0.0009346984836577697,0.5800000000000002,0.5800000000000002,0.0009346984836577697
0.0004390183562335162,0.6000000000000002,0.6000000000000002,0.0004390183562335162
0.0002076343786040478,0.6200000000000002,0.6200000000000002,0.0002076343786040478
9.892391642397005e-05,0.6400000000000002,0.6400000000000002,9.892391642397005e-05
4.752022246899273e-05,0.6600000000000003,0.6600000000000003,4.752022246899273e-05
2.304615892848333e-05,0.6800000000000003,0.6800000000000003,2.304615892848333e-05
1.130484693893603e-05,0.7000000000000003,0.7000000000000003,1.130484693893603e-05
5.62445753469963e-06,0.7200000000000003,0.7200000000000003,5.62445753469963e-06
2.850701534361236e-06,0.7400000000000003,0.7400000000000003,2.850701534361236e-06
1.482384221317295e-06,0.7600000000000003,0.7600000000000003,1.482384221317295e-06
8.003251008516058e-07,0.7800000000000004,0.7800000000000004,8.003251008516058e-07
4.556204267656503e-07,0.8000000000000004,0.8000000000000004,4.556204267656503e-07
2.78412780163271e-07,0.8200000000000004,0.8200000000000004,2.78412780163271e-07
1.854197852990326e-07,0.8400000000000004,0.8400000000000004,1.854197852990326e-07
1.353597091165142e-07,0.8600000000000004,0.8600000000000004,1.353597091165142e-07
1.075364428456014e-07,0.8800000000000004,0.8800000000000004,1.075364428456014e-07
9.14504106385119e-08,0.9000000000000005,0.9000000000000005,9.14504106385119e-08
8.170737458869093e-08,0.9200000000000005,0.9200000000000005,8.170737458869093e-08
7.549774657813978e-08,0.9400000000000005,0.9400000000000005,7.549774657813978e-08
7.133606063710681e-08,0.9600000000000005,0.9600000000000005,7.133606063710681e-08
6.842705706144851e-08,0.9800000000000005,0.9800000000000005,6.842705706144851e-08
6.627182824771333e-08,1,1,6.627182824771333e-08
