leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) Y
1.199998423991279,0,0,1.199998423991279
1.199997321773414,0.024,0.024,1.199997321773414
1.199995307663571,0.048,0.048,1.199995307663571
1.199991640033687,0.07200000000000001,0.07200000000000001,1.199991640033687
1.199984999824033,0.096,0.096,1.199984999824033
1.199973050464614,0.12,0.12,1.199973050464614
1.199951709051145,0.144,0.144,1.199951709051145
1.199913958022572,0.168,0.168,1.199913958022572
1.199847979489084,0.192,0.192,1.199847979489084
1.19973435463275,0.216,0.216,1.19973435463275
1.199542061223939,0.24,0.24,1.199542061223939
1.199223011431252,0.264,0.264,1.199223011431252
1.198704808848476,0.288,0.288,1.198704808848476
1.197881081842199,0.312,0.312,1.197881081842199
1.19659796552584,0.336,0.336,1.19659796552584
1.194633948091896,0.36,0.36,1.194633948091896
1.191668212724885,0.3840000000000001,0.3840000000000001,1.191668212724885
1.18722882948558,0.4080000000000001,0.4080000000000001,1.18722882948558
1.180603070365447,0.4320000000000001,0.4320000000000001,1.180603070365447
1.17066608281637,0.4560000000000001,0.4560000000000001,1.17066608281637
1.15549868751395,0.4800000000000001,0.4800000000000001,1.15549868751395
1.13123510314095,0.5040000000000001,0.5040000000000001,1.13123510314095
1.087683101922349,0.5280000000000001,0.5280000000000001,1.087683101922349
0.969690359535253,0.5520000000000002,0.5520000000000002,0.969690359535253
0.7196421596744629,0.5760000000000002,0.5760000000000002,0.7196421596744629
0.6172064843736514,0.6000000000000002,0.6000000000000002,0.6172064843736514
0.562522213608269,0.6240000000000002,0.6240000000000002,0.562522213608269
0.5222445349441236,0.6480000000000002,0.6480000000000002,0.5222445349441236
0.4888470966786633,0.6720000000000003,0.6720000000000003,0.4888470966786633
0.4596390615846792,0.6960000000000003,0.6960000000000003,0.4596390615846792
0.433309001520879,0.7200000000000003,0.7200000000000003,0.433309001520879
0.4091598293532188,0.7440000000000003,0.7440000000000003,0.4091598293532188
0.3867618042241507,0.7680000000000003,0.7680000000000003,0.3867618042241507
0.3658355092227085,0.7920000000000004,0.7920000000000004,0.3658355092227085
0.3462030874104565,0.8160000000000004,0.8160000000000004,0.3462030874104565
0.3277712413943529,0.8400000000000004,0.8400000000000004,0.3277712413943529
0.3105326879116815,0.8640000000000004,0.8640000000000004,0.3105326879116815
0.2945702852888736,0.8880000000000005,0.8880000000000005,0.2945702852888736
0.2800197838931301,0.9120000000000005,0.9120000000000005,0.2800197838931301
0.2669668132578361,0.9360000000000005,0.9360000000000005,0.2669668132578361
0.2553718794920939,0.9600000000000005,0.9600000000000005,0.2553718794920939
0.2450984109989245,0.9840000000000005,0.9840000000000005,0.2450984109989245
0.2359774505073725,1.008,1.008,0.2359774505073725
0.2278473196427101,1.032,1.032,0.2278473196427101
0.2205673400498714,1.056,1.056,0.2205673400498714
0.2140193470733666,1.080000000000001,1.080000000000001,0.2140193470733666
0.2081051341555707,1.104000000000001,1.104000000000001,0.2081051341555707
0.2027430743627807,1.128000000000001,1.128000000000001,0.2027430743627807
0.1978649957227402,1.152000000000001,1.152000000000001,0.1978649957227402
0.1934135821744232,1.176000000000001,1.176000000000001,0.1934135821744232
0.1893402978499406,1.2,1.2,0.1893402978499406
