leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) Y
0.9999998788418395,0,0,0.9999998788418395
0.9999998557177948,0.02,0.02,0.9999998557177948
0.9999998123587557,0.04,0.04,0.9999998123587557
0.9999997309462245,0.06,0.06,0.9999997309462245
0.9999995780239965,0.08,0.08,0.9999995780239965
0.9999992902228557,0.1,0.1,0.9999992902228557
0.9999987472668747,0.12,0.12,0.9999987472668747
0.9999977204016148,0.14,0.14,0.9999977204016148
0.9999957757365815,0.16,0.16,0.9999957757365815
0.9999920903601439,0.18,0.18,0.9999920903601439
0.9999851013532662,0.2,0.2,0.9999851013532662
0.9999718471710517,0.22,0.22,0.9999718471710517
0.999946733546064,0.24,0.24,0.999946733546064
0.999899241893963,0.26,0.26,0.999899241893963
0.999809711793913,0.28,0.28,0.999809711793913
0.9996416326542267,0.3,0.3,0.9996416326542267
0.999327561555565,0.32,0.32,0.999327561555565
0.998743066196647,0.34,0.34,0.998743066196647
0.9976568134072571,0.36,0.36,0.9976568134072571
0.995628334594772,0.3800000000000001,0.3800000000000001,0.995628334594772
0.9917728186473591,0.4000000000000001,0.4000000000000001,0.9917728186473591
0.9840576908847363,0.4200000000000001,0.4200000000000001,0.9840576908847363
0.9664665411104432,0.4400000000000001,0.4400000000000001,0.9664665411104432
0.8956029319448052,0.4600000000000001,0.4600000000000001,0.8956029319448052
0.5820503463524279,0.4800000000000001,0.4800000000000001,0.5820503463524279
0.3475349178582905,0.5000000000000001,0.5000000000000001,0.3475349178582905
0.28877726399438,0.5200000000000001,0.5200000000000001,0.28877726399438
0.256912807301376,0.5400000000000001,0.5400000000000001,0.256912807301376
0.2335970304559138,0.5600000000000002,0.5600000000000002,0.2335970304559138
0.2140299115135847,0.5800000000000002,0.5800000000000002,0.2140299115135847
0.19641983065455,0.6000000000000002,0.6000000000000002,0.19641983065455
0.1799339699173604,0.6200000000000002,0.6200000000000002,0.1799339699173604
0.1642308094169733,0.6400000000000002,0.6400000000000002,0.1642308094169733
0.1492226629993464,0.6600000000000003,0.6600000000000003,0.1492226629993464
0.1350399708820804,0.6800000000000003,0.6800000000000003,0.1350399708820804
0.1220439471142023,0.7000000000000003,0.7000000000000003,0.1220439471142023
0.1106518641350914,0.7200000000000003,0.7200000000000003,0.1106518641350914
0.1009901717695296,0.7400000000000003,0.7400000000000003,0.1009901717695296
0.09287882257337431,0.7600000000000003,0.7600000000000003,0.09287882257337431
0.08604772281779659,0.7800000000000004,0.7800000000000004,0.08604772281779659
0.08025250779982827,0.8000000000000004,0.8000000000000004,0.08025250779982827
0.07529648853576118,0.8200000000000004,0.8200000000000004,0.07529648853576118
0.07102525404649511,0.8400000000000004,0.8400000000000004,0.07102525404649511
0.06731753773001302,0.8600000000000004,0.8600000000000004,0.06731753773001302
0.06407742093317677,0.8800000000000004,0.8800000000000004,0.06407742093317677
0.0612283881872764,0.9000000000000005,0.9000000000000005,0.0612283881872764
0.05870889090277467,0.9200000000000005,0.9200000000000005,0.05870889090277467
0.05646902804666828,0.9400000000000005,0.9400000000000005,0.05646902804666828
0.05446804048919823,0.9600000000000005,0.9600000000000005,0.05446804048919823
0.0526724011226717,0.9800000000000005,0.9800000000000005,0.0526724011226717
0.0510543461208943,1,1,0.0510543461208943
