/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y
0,0.7999998825044723,0,-0.1298996334832733
0.02,0.7999998345188428,0.02,-0.1403764965628979
0.04,0.7999997482167842,0.04,-0.149801600244956
0.06,0.7999995892115779,0.06,-0.1582115928776055
0.08,0.7999992897637318,0.08,-0.1656349798982928
0.1,0.7999987142288496,0.1,-0.1721001906218325
0.12,0.7999975866057777,0.12,-0.1776419512161306
0.14,0.7999953366186591,0.14,-0.1823059660327871
0.16,0.7999907687915003,0.16,-0.1861509400056038
0.18,0.7999813429928301,0.18,-0.1892473004342495
0.2,0.7999615933785148,0.2,-0.1916727469106686
0.22,0.7999196150616622,0.22,-0.1935056738401502
0.24,0.799829208838556,0.24,-0.1948181057294285
0.26,0.7996320293478968,0.26,-0.1956697628143703
0.28,0.7991958390761422,0.28,-0.1961043175355257
0.3,0.7982137154088275,0.3,-0.1961481789038562
0.32,0.7959426696743072,0.32,-0.1958117252311934
0.34,0.7903740864760129,0.34,-0.1950914944261349
0.36,0.7746481395484918,0.36,-0.1939760650529348
0.3800000000000001,0.6773625062198948,0.3800000000000001,-0.1924489666158961
0.4000000000000001,0.396540387231045,0.4000000000000001,-0.1904943592909915
0.4200000000000001,0.3395199294412877,0.4200000000000001,-0.1881006734448765
0.4400000000000001,0.3120081303638614,0.4400000000000001,-0.185263225289337
0.4600000000000001,0.2912795032385085,0.4600000000000001,-0.1819856192680624
0.4800000000000001,0.2731439087624254,0.4800000000000001,-0.1782792295851845
0.5000000000000001,0.2560622708849252,0.5000000000000001,-0.1741635464698516
0.5200000000000001,0.2395094643378971,0.5200000000000001,-0.1696648014394249
0.5400000000000001,0.2232644086736797,0.5400000000000001,-0.1648157490944316
0.5600000000000002,0.2072402605193219,0.5600000000000002,-0.1596561137131567
0.5800000000000002,0.1914101082672919,0.5800000000000002,-0.1542340586196687
0.6000000000000002,0.1757771865354227,0.6000000000000002,-0.1486082232208174
0.6200000000000002,0.1603667233375328,0.6200000000000002,-0.1428486611293382
0.6400000000000002,0.1452328797618087,0.6400000000000002,-0.1370341827951762
0.6600000000000003,0.130487245730103,0.6600000000000003,-0.1312452376195341
0.6800000000000003,0.1163668007969807,0.6800000000000003,-0.1255552472439843
0.7000000000000003,0.1033098101485878,0.7000000000000003,-0.1200246860520073
0.7200000000000003,0.09181533873379195,0.7200000000000003,-0.1146994241102784
0.7400000000000003,0.08207543192339864,0.7400000000000003,-0.1096119112633141
0.7600000000000003,0.07393481183686101,0.7600000000000003,-0.1047833319596084
0.7800000000000004,0.06712442664618448,0.7800000000000004,-0.1002257241701826
0.8000000000000004,0.06139433474154087,0.8000000000000004,-0.09594378326550557
0.8200000000000004,0.05654090533116003,0.8200000000000004,-0.09193636889913773
0.8400000000000004,0.0524026840524562,0.8400000000000004,-0.08819778786945438
0.8600000000000004,0.04885170380040867,0.8600000000000004,-0.08471890461890817
0.8800000000000004,0.04578593532758244,0.8800000000000004,-0.08148810357086668
0.9000000000000005,0.04312348597756934,0.9000000000000005,-0.07849211166623077
0.9200000000000005,0.04079822225798742,0.9200000000000005,-0.0757166846444223
0.9400000000000005,0.03875644311453727,0.9400000000000005,-0.0731471622024213
0.9600000000000005,0.03695432210608506,0.9600000000000005,-0.0707689011135961
0.9800000000000005,0.03535592075986903,0.9800000000000005,-0.06856759917470094
1,0.03393163447201097,1,-0.06652952530591584
