/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
0,0,0,1,0,4.223779153783402e-08,0,0.9999998753914556,0,1,0,0,0,-2.253589038036118e-11
3.2e-11,0,3.2e-11,1,3.2e-11,4.223779312537131e-08,3.2e-11,0.9999998753915428,3.2e-11,1,3.2e-11,0,3.2e-11,-2.253582247347479e-11
9.599999999999999e-11,0,9.599999999999999e-11,1,9.599999999999999e-11,4.223779168954352e-08,9.599999999999999e-11,0.9999998753915541,9.599999999999999e-11,1,9.599999999999999e-11,0,9.599999999999999e-11,-2.253582147977935e-11
2.24e-10,0,2.24e-10,1,2.24e-10,4.223779211194594e-08,2.24e-10,0.9999998753916299,2.24e-10,1,2.24e-10,0,2.24e-10,-2.253581101597299e-11
4.8e-10,0,4.8e-10,1,4.8e-10,4.223779039643313e-08,4.8e-10,0.9999998753915214,4.8e-10,1,4.8e-10,0,4.8e-10,-2.253582635678067e-11
9.919999999999999e-10,0,9.919999999999999e-10,1,9.919999999999999e-10,4.223779276891974e-08,9.919999999999999e-10,0.9999998753915942,9.919999999999999e-10,1,9.919999999999999e-10,0,9.919999999999999e-10,-2.253581561139133e-11
1.632e-09,0,1.632e-09,1,1.632e-09,4.223778995613667e-08,1.632e-09,0.9999998753914429,1.632e-09,1,1.632e-09,0,1.632e-09,-2.253583717812343e-11
1.99e-09,0,1.99e-09,1,1.99e-09,4.223779394091063e-08,1.99e-09,0.9999998753917074,1.99e-09,1,1.99e-09,0,1.99e-09,-2.253579982352162e-11
1.990083416666e-09,0.008341666666664842,1.990083416666e-09,0.9916583333333352,1.990083416666e-09,3.874545469654104e-07,1.990083416666e-09,0.9999992594743867,1.990083416666e-09,1,1.990083416666e-09,0,1.990083416666e-09,-1.176469810467017e-09
1.99025025e-09,0.02502499999999453,1.99025025e-09,0.9749750000000055,1.99025025e-09,1.994975547694285e-07,1.99025025e-09,0.999999225578311,1.99025025e-09,1,1.99025025e-09,0,1.99025025e-09,5.573433577749033e-10
1.990583916666e-09,0.05839166666665389,1.990583916666e-09,0.9416083333333461,1.990583916666e-09,6.430770341783372e-08,1.990583916666e-09,0.9999992433453559,1.990583916666e-09,1,1.990583916666e-09,0,1.990583916666e-09,-8.45625841658926e-10
1.99115084551e-09,0.1150845510417238,1.99115084551e-09,0.8849154489582762,1.99115084551e-09,1.64800616642217e-08,1.99115084551e-09,0.9999993031922402,1.99115084551e-09,1,1.99115084551e-09,0,1.99115084551e-09,6.457871499040657e-10
1.992284703197e-09,0.2284703197918637,1.992284703197e-09,0.7715296802081363,1.992284703197e-09,-2.461368650847413e-08,1.992284703197e-09,0.9999994212282569,1.992284703197e-09,1,1.992284703197e-09,0,1.992284703197e-09,-7.853103301716326e-10
1.994552418572e-09,0.4552418572921434,1.994552418572e-09,0.5447581427078566,1.994552418572e-09,5.722609089209314e-09,1.994552418572e-09,0.9999995725324861,1.994552418572e-09,1,1.994552418572e-09,0,1.994552418572e-09,6.846336770320232e-10
1.997276209286e-09,0.727620928646051,1.997276209286e-09,0.272379071353949,1.997276209286e-09,2.880797269752701e-08,1.997276209286e-09,0.9999997103921635,1.997276209286e-09,1,1.997276209286e-09,0,1.997276209286e-09,-7.663321946054871e-10
1.999999999999e-09,0.9999999999999586,1.999999999999e-09,4.141131881851834e-14,1.999999999999e-09,5.669398967389251e-08,1.999999999999e-09,0.9999997691356497,1.999999999999e-09,1,1.999999999999e-09,0,1.999999999999e-09,6.923407666252086e-10
2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,-5.118968947572006e-07,2.000083416666e-09,1.000000381405968,2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,6.284785971523458e-10
2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.734793504605935e-07,2.00025025e-09,1.000000387186988,2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.342309681191687e-10
2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,-3.883805450393399e-07,2.000583916666e-09,1.000000359158943,2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,5.344899852070935e-10
2.001151006876e-09,1,2.001151006876e-09,0,2.001151006876e-09,-2.898462956353978e-07,2.001151006876e-09,1.000000339580364,2.001151006876e-09,1,2.001151006876e-09,0,2.001151006876e-09,-4.112163187485557e-10
2.002285187297e-09,1,2.002285187297e-09,0,2.002285187297e-09,-1.478617477329404e-07,2.002285187297e-09,1.000000249540607,2.002285187297e-09,1,2.002285187297e-09,0,2.002285187297e-09,4.768831493478221e-10
2.004553548138e-09,1,2.004553548138e-09,0,2.004553548138e-09,-3.338595092145773e-08,2.004553548138e-09,1.000000119152803,2.004553548138e-09,1,2.004553548138e-09,0,2.004553548138e-09,-4.427429331087861e-10
2.00909026982e-09,1,2.00909026982e-09,0,2.00909026982e-09,3.594684959339231e-08,2.00909026982e-09,0.9999999352936306,2.00909026982e-09,1,2.00909026982e-09,0,2.00909026982e-09,4.260094568118914e-10
2.018163713184e-09,1,2.018163713184e-09,0,2.018163713184e-09,5.190061935887299e-08,2.018163713184e-09,0.9999998567613572,2.018163713184e-09,1,2.018163713184e-09,0,2.018163713184e-09,-4.677264389829688e-10
2.036310599912e-09,1,2.036310599912e-09,0,2.036310599912e-09,5.605403916830307e-08,2.036310599912e-09,0.9999998416863511,2.036310599912e-09,1,2.036310599912e-09,0,2.036310599912e-09,4.147101428391257e-10
2.072604373368e-09,1,2.072604373368e-09,0,2.072604373368e-09,5.297184398273422e-08,2.072604373368e-09,0.9999998547963798,2.072604373368e-09,1,2.072604373368e-09,0,2.072604373368e-09,-4.667539442535254e-10
2.14519192028e-09,1,2.14519192028e-09,0,2.14519192028e-09,5.576410324590234e-08,2.14519192028e-09,0.9999998419805226,2.14519192028e-09,1,2.14519192028e-09,0,2.14519192028e-09,4.141590707303736e-10
2.290367014104e-09,1,2.290367014104e-09,0,2.290367014104e-09,5.309126793595861e-08,2.290367014104e-09,0.9999998546971682,2.290367014104e-09,1,2.290367014104e-09,0,2.290367014104e-09,-4.664718444423492e-10
2.580717201751e-09,1,2.580717201751e-09,0,2.580717201751e-09,5.571169760663925e-08,2.580717201751e-09,0.9999998420138998,2.580717201751e-09,1,2.580717201751e-09,0,2.580717201751e-09,4.140168900782292e-10
2.99e-09,1,2.99e-09,0,2.99e-09,5.3119852778115e-08,2.99e-09,0.9999998546798908,2.99e-09,1,2.99e-09,0,2.99e-09,-4.663905479069349e-10
2.990005213541e-09,1,2.990005213541e-09,0,2.990005213541e-09,2.042496983143519e-05,2.990005213541e-09,1.000021593410827,2.990005213541e-09,1,2.990005213541e-09,0.0005213541666691376,2.990005213541e-09,8.544689355210426e-07
2.990015640625e-09,1,2.990015640625e-09,0,2.990015640625e-09,6.386244490636067e-05,2.990015640625e-09,1.000068391474889,2.990015640625e-09,1,2.990015640625e-09,0.001564062500007413,2.990015640625e-09,1.319739024255261e-06
2.990036494791e-09,1,2.990036494791e-09,0,2.990036494791e-09,0.0001449189428618421,2.990036494791e-09,1.000158481474008,2.990036494791e-09,1,2.990036494791e-09,0.003649479166683963,2.990036494791e-09,9.97630442435429e-07
2.990078203125e-09,1,2.990078203125e-09,0,2.990078203125e-09,0.0003029647761263684,2.990078203125e-09,1.000335273445177,2.990078203125e-09,1,2.990078203125e-09,0.007820312500037063,2.990078203125e-09,1.247709581156291e-06
2.990161619791e-09,1,2.990161619791e-09,0,2.990161619791e-09,0.0006098979717111885,2.990161619791e-09,1.000681561284547,2.990161619791e-09,1,2.990161619791e-09,0.01616197916674326,2.990161619791e-09,1.036040099046028e-06
2.990328453125e-09,1,2.990328453125e-09,0,2.990328453125e-09,0.001180193371580415,2.990328453125e-09,1.001338909294396,2.990328453125e-09,1,2.990328453125e-09,0.03284531250015567,2.990328453125e-09,1.249222602492816e-06
2.990662119791e-09,1,2.990662119791e-09,0,2.990662119791e-09,0.002173742365107583,2.990662119791e-09,1.002532817194366,2.990662119791e-09,1,2.990662119791e-09,0.06621197916698048,2.990662119791e-09,1.075513713035904e-06
