/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
3.000677929687e-09,0.8,3.000677929687e-09,0,3.000677929687e-09,0.03333387703056615,3.000677929687e-09,0.7914589591423443,3.000677929687e-09,0.8,3.000677929687e-09,0.8,3.000677929687e-09,-3.036839643516595e-06
3.001345429687e-09,0.8,3.001345429687e-09,0,3.001345429687e-09,0.03509774705420039,3.001345429687e-09,0.7816185231898155,3.001345429687e-09,0.8,3.001345429687e-09,0.8,3.001345429687e-09,-2.775677894909344e-06
3.002680429687e-09,0.8,3.002680429687e-09,0,3.002680429687e-09,0.03890452904880706,3.002680429687e-09,0.7623956277600032,3.002680429687e-09,0.8,3.002680429687e-09,0.8,3.002680429687e-09,-3.340917562955239e-06
3.005350429687e-09,0.8,3.005350429687e-09,0,3.005350429687e-09,0.04745968425332837,3.005350429687e-09,0.7256637697890328,3.005350429687e-09,0.8,3.005350429687e-09,0.8,3.005350429687e-09,-3.254964536787702e-06
3.010690429688e-09,0.8,3.010690429688e-09,0,3.010690429688e-09,0.06690853792978643,3.010690429688e-09,0.6579029847040003,3.010690429688e-09,0.8,3.010690429688e-09,0.8,3.010690429688e-09,-3.876522061146656e-06
3.018854721438e-09,0.8,3.018854721438e-09,0,3.018854721438e-09,0.09611136631200648,3.018854721438e-09,0.5580068978118539,3.018854721438e-09,0.8,3.018854721438e-09,0.8,3.018854721438e-09,-3.231769347682098e-06
3.025663926595e-09,0.8,3.025663926595e-09,0,3.025663926595e-09,0.1155958119889724,3.025663926595e-09,0.4729386938756715,3.025663926595e-09,0.8,3.025663926595e-09,0.8,3.025663926595e-09,-3.42714183789945e-06
3.034865555331e-09,0.8,3.034865555331e-09,0,3.034865555331e-09,0.1344936014673337,3.034865555331e-09,0.3605022978471328,3.034865555331e-09,0.8,3.034865555331e-09,0.8,3.034865555331e-09,-2.812502998022109e-06
3.045980638225e-09,0.8,3.045980638225e-09,0,3.045980638225e-09,0.1552032167127263,3.045980638225e-09,0.2404255679615595,3.045980638225e-09,0.8,3.045980638225e-09,0.8,3.045980638225e-09,-3.172677828069153e-06
3.056002360747e-09,0.8,3.056002360747e-09,0,3.056002360747e-09,0.1860113261355774,3.056002360747e-09,0.1520977235882514,3.056002360747e-09,0.8,3.056002360747e-09,0.8,3.056002360747e-09,-3.181222062662618e-06
3.06562063205e-09,0.8,3.06562063205e-09,0,3.06562063205e-09,0.2428790358592802,3.06562063205e-09,0.08828838161625691,3.06562063205e-09,0.8,3.06562063205e-09,0.8,3.06562063205e-09,-4.056505078264633e-06
3.074455072747e-09,0.8,3.074455072747e-09,0,3.074455072747e-09,0.3263719737287678,3.074455072747e-09,0.05221183929443467,3.074455072747e-09,0.8,3.074455072747e-09,0.8,3.074455072747e-09,-3.84011833580116e-06
3.085013786839e-09,0.8,3.085013786839e-09,0,3.085013786839e-09,0.4524099558645829,3.085013786839e-09,0.03222138623894709,3.085013786839e-09,0.8,3.085013786839e-09,0.8,3.085013786839e-09,-4.125128291446499e-06
3.094641702011e-09,0.8,3.094641702011e-09,0,3.094641702011e-09,0.5680751838018914,3.094641702011e-09,0.02402853591115345,3.094641702011e-09,0.8,3.094641702011e-09,0.8,3.094641702011e-09,-3.471178584527551e-06
3.102340241607e-09,0.8,3.102340241607e-09,0,3.102340241607e-09,0.6487257203562617,3.102340241607e-09,0.01874345676757971,3.102340241607e-09,0.8,3.102340241607e-09,0.8,3.102340241607e-09,-3.461453039999082e-06
3.110723916872e-09,0.8,3.110723916872e-09,0,3.110723916872e-09,0.7161249645293828,3.110723916872e-09,0.01258185554186543,3.110723916872e-09,0.8,3.110723916872e-09,0.8,3.110723916872e-09,-2.214283233683954e-06
3.120009895266e-09,0.8,3.120009895266e-09,0,3.120009895266e-09,0.7610509197918561,3.120009895266e-09,0.006523593294713912,3.120009895266e-09,0.8,3.120009895266e-09,0.8,3.120009895266e-09,-1.468506235272127e-06
3.131876733042e-09,0.8,3.131876733042e-09,0,3.131876733042e-09,0.786552326962256,3.131876733042e-09,0.002173304396129253,3.131876733042e-09,0.8,3.131876733042e-09,0.8,3.131876733042e-09,-2.813182657039035e-07
