/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y
0,-0.05553319115355014,0,0.9999999163154349
0.02,-0.06734134799594334,0.02,0.9999998921839928
0.04,-0.07859568179498334,0.04,0.9999998507610083
0.06,-0.08932764088789004,0.06,0.9999997791728013
0.08,-0.09956050455799458,0.08,0.9999996546410381
0.1,-0.1093101422768756,0.1,0.999999436617996
0.12,-0.1185852973320457,0.12,0.9999990524431184
0.14,-0.1273876225613935,0.14,0.9999983709545438
0.16,-0.1357114862999788,0.16,0.9999971534807669
0.18,-0.143543600876145,0.18,0.9999949619043174
0.2,-0.1508625762616382,0.2,0.9999909843750443
0.22,-0.1576386366386778,0.22,0.9999837013492571
0.24,-0.1638339282225981,0.24,0.9999702476517767
0.26,-0.1694039802843338,0.26,0.9999451739776762
0.28,-0.1743007669169097,0.28,0.9998979860737458
0.3,-0.1784773650192642,0.3,0.9998082942563393
0.32,-0.1818936059711557,0.32,0.999636125720629
0.34,-0.1845216876786275,0.34,0.9993024214541063
0.36,-0.1863505692447093,0.36,0.9986491980201283
0.3800000000000001,-0.1873881078512478,0.3800000000000001,0.9973556597022361
0.4000000000000001,-0.1876603985257349,0.4000000000000001,0.9947494817534334
0.4200000000000001,-0.1872083041334262,0.4200000000000001,0.9892946017976602
0.4400000000000001,-0.1860840661107286,0.4400000000000001,0.9768571152154579
0.4600000000000001,-0.184344643898949,0.4600000000000001,0.937073264772607
0.4800000000000001,-0.1820491589791248,0.4800000000000001,0.6605563341224122
0.5000000000000001,-0.1792560768011452,0.5000000000000001,0.4750248979199043
0.5200000000000001,-0.1760220761296654,0.5200000000000001,0.4292228941426001
0.5400000000000001,-0.1724020577024764,0.5400000000000001,0.4010840585659192
0.5600000000000002,-0.1684501137580019,0.5600000000000002,0.378760624846272
0.5800000000000002,-0.1642208481944199,0.5800000000000002,0.3591731426967184
0.6000000000000002,-0.1597716468426756,0.6000000000000002,0.3409446805155423
0.6200000000000002,-0.1551636108731231,0.6200000000000002,0.3234830007647971
0.6400000000000002,-0.1504609842156784,0.6400000000000002,0.3064890783248972
0.6600000000000003,-0.1457278706914952,0.6600000000000003,0.289814623454779
0.6800000000000003,-0.1410234079769396,0.6800000000000003,0.2733941576129803
0.7000000000000003,-0.1363977736699069,0.7000000000000003,0.2572112917630443
0.7200000000000003,-0.1318905436704025,0.7200000000000003,0.2412817624067004
0.7400000000000003,-0.1275311378076035,0.7400000000000003,0.2256460624337811
0.7600000000000003,-0.123340275847472,0.7600000000000003,0.2103700133335311
0.7800000000000004,-0.1193316058666379,0.7800000000000004,0.1955563432542937
0.8000000000000004,-0.1155131420825759,0.8000000000000004,0.1813731351310894
0.8200000000000004,-0.1118884413628873,0.8200000000000004,0.1680855012650583
0.8400000000000004,-0.1084575542951551,0.8400000000000004,0.156008136417215
0.8600000000000004,-0.1052178028819929,0.8600000000000004,0.1453343934278549
0.8800000000000004,-0.1021644262632916,0.8800000000000004,0.1360427301003967
0.9000000000000005,-0.0992911198893727,0.9000000000000005,0.1279798704757382
0.9200000000000005,-0.0965904856663119,0.9200000000000005,0.1209630168324343
0.9400000000000005,-0.09405440464388831,0.9400000000000005,0.1148252736625332
0.9600000000000005,-0.09167434076684254,0.9600000000000005,0.1094262100199776
0.9800000000000005,-0.08944158369976846,0.9800000000000005,0.1046505342496634
1,-0.08734743843526765,1,0.1004040306914604
