leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) Y
0.9999998721268101,0,0,0.9999998721268101
0.9999998474801828,0.02,0.02,0.9999998474801828
0.999999805458382,0.04,0.04,0.999999805458382
0.9999997330834635,0.06,0.06,0.9999997330834635
0.9999996075554931,0.08,0.08,0.9999996075554931
0.9999993882895475,0.1,0.1,0.9999993882895475
0.9999990025753053,0.12,0.12,0.9999990025753053
0.9999983191857049,0.14,0.14,0.9999983191857049
0.9999970993633961,0.16,0.16,0.9999970993633961
0.9999949048767833,0.18,0.18,0.9999949048767833
0.999990923722716,0.2,0.2,0.999990923722716
0.9999836361519115,0.22,0.22,0.9999836361519115
0.9999701767147953,0.24,0.24,0.9999701767147953
0.9999450957440451,0.26,0.26,0.9999450957440451
0.9998978985074252,0.28,0.28,0.9998978985074252
0.9998081946750751,0.3,0.3,0.9998081946750751
0.9996360105426629,0.32,0.32,0.9996360105426629
0.9993022857982159,0.34,0.34,0.9993022857982159
0.9986490350244541,0.36,0.36,0.9986490350244541
0.9973554592062385,0.3800000000000001,0.3800000000000001,0.9973554592062385
0.9947492272560592,0.4000000000000001,0.4000000000000001,0.9947492272560592
0.9892942609853039,0.4200000000000001,0.4200000000000001,0.9892942609853039
0.9768565997119263,0.4400000000000001,0.4400000000000001,0.9768565997119263
0.9370719600759492,0.4600000000000001,0.4600000000000001,0.9370719600759492
0.6590313722294873,0.4800000000000001,0.4800000000000001,0.6590313722294873
0.3452728594139073,0.5000000000000001,0.5000000000000001,0.3452728594139073
0.2766312812276003,0.5200000000000001,0.5200000000000001,0.2766312812276003
0.2442471136464029,0.5400000000000001,0.5400000000000001,0.2442471136464029
0.2209153679655368,0.5600000000000002,0.5600000000000002,0.2209153679655368
0.2015162380217975,0.5800000000000002,0.5800000000000002,0.2015162380217975
0.1839840321491573,0.6000000000000002,0.6000000000000002,0.1839840321491573
0.1675360908799897,0.6200000000000002,0.6200000000000002,0.1675360908799897
0.1518110831810489,0.6400000000000002,0.6400000000000002,0.1518110831810489
0.1366903142415975,0.6600000000000003,0.6600000000000003,0.1366903142415975
0.1222562344726598,0.6800000000000003,0.6800000000000003,0.1222562344726598
0.1088275911687527,0.7000000000000003,0.7000000000000003,0.1088275911687527
0.09687649157112543,0.7200000000000003,0.7200000000000003,0.09687649157112543
0.08667251174342376,0.7400000000000003,0.7400000000000003,0.08667251174342376
0.07812103651050119,0.7600000000000003,0.7600000000000003,0.07812103651050119
0.07096296829936773,0.7800000000000004,0.7800000000000004,0.07096296829936773
0.06493980323499658,0.8000000000000004,0.8000000000000004,0.06493980323499658
0.05983751603070635,0.8200000000000004,0.8200000000000004,0.05983751603070635
0.05548606314530741,0.8400000000000004,0.8400000000000004,0.05548606314530741
0.05175084274847626,0.8600000000000004,0.8600000000000004,0.05175084274847626
0.04852470959249727,0.8800000000000004,0.8800000000000004,0.04852470959249727
0.04572176981763787,0.9000000000000005,0.9000000000000005,0.04572176981763787
0.04327270956153776,0.9200000000000005,0.9200000000000005,0.04327270956153776
0.04112126303051933,0.9400000000000005,0.9400000000000005,0.04112126303051933
0.03922151023971883,0.9600000000000005,0.9600000000000005,0.03922151023971883
0.03753578550640242,0.9800000000000005,0.9800000000000005,0.03753578550640242
0.03603304393661357,1,1,0.03603304393661357
