/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
0,0,0,1.2,0,4.034241238525267e-07,0,1.19999842397774,0,1.2,0,1.2,0,-4.414826535060671e-10
3e-11,0,3e-11,1.2,3e-11,4.034241248444602e-07,3e-11,1.199998423977833,3e-11,1.2,3e-11,1.2,3e-11,-4.414825719788927e-10
8.999999999999999e-11,0,8.999999999999999e-11,1.2,8.999999999999999e-11,4.034241239005424e-07,8.999999999999999e-11,1.199998423977845,8.999999999999999e-11,1.2,8.999999999999999e-11,1.2,8.999999999999999e-11,-4.414825708201426e-10
2.1e-10,0,2.1e-10,1.2,2.1e-10,4.034241244489248e-07,2.1e-10,1.199998423977964,2.1e-10,1.2,2.1e-10,1.2,2.1e-10,-4.414825521845644e-10
4.499999999999999e-10,0,4.499999999999999e-10,1.2,4.499999999999999e-10,4.034241226982806e-07,4.499999999999999e-10,1.199998423977779,4.499999999999999e-10,1.2,4.499999999999999e-10,1.2,4.499999999999999e-10,-4.414825816115915e-10
9.299999999999999e-10,0,9.299999999999999e-10,1.2,9.299999999999999e-10,4.034241248118654e-07,9.299999999999999e-10,1.199998423977652,9.299999999999999e-10,1.2,9.299999999999999e-10,1.2,9.299999999999999e-10,-4.414825996353517e-10
1.53e-09,0,1.53e-09,1.2,1.53e-09,4.034241234082923e-07,1.53e-09,1.199998423978136,1.53e-09,1.2,1.53e-09,1.2,1.53e-09,-4.414825265671113e-10
2.13e-09,0,2.13e-09,1.2,2.13e-09,4.034241236627767e-07,2.13e-09,1.19999842397763,2.13e-09,1.2,2.13e-09,1.2,2.13e-09,-4.414826038174973e-10
2.73e-09,0,2.73e-09,1.2,2.73e-09,4.034241243110386e-07,2.73e-09,1.199998423977881,2.73e-09,1.2,2.73e-09,1.2,2.73e-09,-4.414825650171525e-10
3.33e-09,0,3.33e-09,1.2,3.33e-09,4.034241233912577e-07,3.33e-09,1.199998423977902,3.33e-09,1.2,3.33e-09,1.2,3.33e-09,-4.414825624551953e-10
3.929999999998999e-09,0,3.929999999998999e-09,1.2,3.929999999998999e-09,4.034241237820442e-07,3.929999999998999e-09,1.199998423977488,3.929999999998999e-09,1.2,3.929999999998999e-09,1.2,3.929999999998999e-09,-4.414826254208771e-10
3.99e-09,0,3.99e-09,1.2,3.99e-09,4.034241280183294e-07,3.99e-09,1.199998423977858,3.99e-09,1.2,3.99e-09,1.2,3.99e-09,-4.414825659570415e-10
3.990083402777e-09,0.01000833333332,3.990083402777e-09,1.18999166666668,3.990083402777e-09,0.0009174999137758665,3.990083402777e-09,1.200282695817239,3.990083402777e-09,1.2,3.990083402777e-09,1.2,3.990083402777e-09,1.807807496043572e-06
3.990250208332999e-09,0.03002499999995999,3.990250208332999e-09,1.16997500000004,3.990250208332999e-09,0.003147450196039103,3.990250208332999e-09,1.200975839643836,3.990250208332999e-09,1.2,3.990250208332999e-09,1.2,3.990250208332999e-09,2.742891676796966e-06
3.990583819444e-09,0.07005833333323998,3.990583819444e-09,1.12994166666676,3.990583819444e-09,0.009357821584143014,3.990583819444e-09,1.202817284467579,3.990583819444e-09,1.2,3.990583819444e-09,1.2,3.990583819444e-09,3.826268646993431e-06
3.991002901441e-09,0.1203481729382057,3.991002901441e-09,1.079651827061794,3.991002901441e-09,0.01947300068433894,3.991002901441e-09,1.205613116742951,3.991002901441e-09,1.2,3.991002901441e-09,1.2,3.991002901441e-09,5.049509379467406e-06
3.991841065434e-09,0.2209278521481372,3.991841065434e-09,0.9790721478518627,3.991841065434e-09,0.04300655848659311,3.991841065434e-09,1.211301585414339,3.991841065434e-09,1.2,3.991841065434e-09,1.2,3.991841065434e-09,5.976381027700561e-06
3.992864140074e-09,0.3436968089159852,3.992864140074e-09,0.8563031910840148,3.992864140074e-09,0.07218636408715251,3.992864140074e-09,1.216806556714797,3.992864140074e-09,1.2,3.992864140074e-09,1.2,3.992864140074e-09,6.239402416392749e-06
3.994179512083e-09,0.5015414500253241,3.994179512083e-09,0.6984585499746758,3.994179512083e-09,0.104653519962348,3.994179512083e-09,1.219857853166673,3.994179512083e-09,1.2,3.994179512083e-09,1.2,3.994179512083e-09,5.19713130018583e-06
3.995881635565e-09,0.7057962679074006,3.995881635565e-09,0.4942037320925994,3.995881635565e-09,0.1334090207508876,3.995881635565e-09,1.206443455641515,3.995881635565e-09,1.2,3.995881635565e-09,1.2,3.995881635565e-09,-4.74926147685491e-07
3.997662264992e-09,0.9194717990493448,3.997662264992e-09,0.2805282009506551,3.997662264992e-09,0.1497533174759126,3.997662264992e-09,1.15181985134482,3.997662264992e-09,1.2,3.997662264992e-09,1.2,3.997662264992e-09,-1.563661882829542e-05
3.998831132496e-09,1.059735899524672,3.998831132496e-09,0.1402641004753276,3.998831132496e-09,0.1573227068729512,3.998831132496e-09,1.081511972109185,3.998831132496e-09,1.2,3.998831132496e-09,1.2,3.998831132496e-09,-2.46178484635542e-05
3.999415566247999e-09,1.129867949762386,3.999415566247999e-09,0.07013205023761415,3.999415566247999e-09,0.1620104039164775,3.999415566247999e-09,1.033159051719957,3.999415566247999e-09,1.2,3.999415566247999e-09,1.2,3.999415566247999e-09,-2.904852556693002e-05
3.999999999999999e-09,1.2,3.999999999999999e-09,0,3.999999999999999e-09,0.1684299589586371,3.999999999999999e-09,0.9751734499794543,3.999999999999999e-09,1.2,3.999999999999999e-09,1.2,3.999999999999999e-09,-3.248067879571935e-05
4.000083402777e-09,1.2,4.000083402777e-09,0,4.000083402777e-09,0.1695840355169224,4.000083402777e-09,0.9663728786259905,4.000083402777e-09,1.2,4.000083402777e-09,1.2,4.000083402777e-09,-3.297484089882395e-05
4.000250208333e-09,1.2,4.000250208333e-09,0,4.000250208333e-09,0.1721014014642398,4.000250208333e-09,0.9489462802252627,4.000250208333e-09,1.2,4.000250208333e-09,1.2,4.000250208333e-09,-3.304546750251303e-05
4.000311194390999e-09,1.2,4.000311194390999e-09,0,4.000311194390999e-09,0.1731138789659435,4.000311194390999e-09,0.9426903067793637,4.000311194390999e-09,1.2,4.000311194390999e-09,1.2,4.000311194390999e-09,-3.325271518709064e-05
4.000341687421e-09,1.2,4.000341687421e-09,0,4.000341687421e-09,0.1736375099313987,4.000341687421e-09,0.9395852644572922,4.000341687421e-09,1.2,4.000341687421e-09,1.2,4.000341687421e-09,-3.317319794700465e-05
4.000402673478999e-09,1.2,4.000402673478999e-09,0,4.000402673478999e-09,0.1747190372584308,4.000402673478999e-09,0.9334189422098802,4.000402673478999e-09,1.2,4.000402673478999e-09,1.2,4.000402673478999e-09,-3.334748379309671e-05
4.000433166508e-09,1.2,4.000433166508e-09,0,4.000433166508e-09,0.1752764746622245,4.000433166508e-09,0.9303580656678685,4.000433166508e-09,1.2,4.000433166508e-09,1.2,4.000433166508e-09,-3.32932633968076e-05
4.000494152566999e-09,1.2,4.000494152566999e-09,0,4.000494152566999e-09,0.1764240203670207,4.000494152566999e-09,0.924279106479815,4.000494152566999e-09,1.2,4.000494152566999e-09,1.2,4.000494152566999e-09,-3.344212315554747e-05
4.000616124684e-09,1.2,4.000616124684e-09,0,4.000616124684e-09,0.1788445769984743,4.000616124684e-09,0.9122893950477708,4.000616124684e-09,1.2,4.000616124684e-09,1.2,4.000616124684e-09,-3.34963586834684e-05
4.000860068917999e-09,1.2,4.000860068917999e-09,0,4.000860068917999e-09,0.184155617356331,4.000860068917999e-09,0.8889431949366572,4.000860068917999e-09,1.2,4.000860068917999e-09,1.2,4.000860068917999e-09,-3.378769637120886e-05
4.001347957386e-09,1.2,4.001347957386e-09,0,4.001347957386e-09,0.196457744703151,4.001347957386e-09,0.8444801903653651,4.001347957386e-09,1.2,4.001347957386e-09,1.2,4.001347957386e-09,-3.396966886782729e-05
4.002323734322e-09,1.2,4.002323734322e-09,0,4.002323734322e-09,0.2268739078992973,4.002323734322e-09,0.7623677618828594,4.002323734322e-09,1.2,4.002323734322e-09,1.2,4.002323734322e-09,-3.398491464928882e-05
4.003824508416e-09,1.2,4.003824508416e-09,0,4.003824508416e-09,0.2857596521270732,4.003824508416e-09,0.6469416866678585,4.003824508416e-09,1.2,4.003824508416e-09,1.2,4.003824508416e-09,-3.404585417592331e-05
4.005498891521e-09,1.2,4.005498891521e-09,0,4.005498891521e-09,0.3625274707788598,4.005498891521e-09,0.5238621896068172,4.005498891521e-09,1.2,4.005498891521e-09,1.2,4.005498891521e-09,-3.614416458848462e-05
4.00737065276e-09,1.2,4.00737065276e-09,0,4.00737065276e-09,0.4542681293890478,4.00737065276e-09,0.3859652860847798,4.00737065276e-09,1.2,4.00737065276e-09,1.2,4.00737065276e-09,-3.98261744071784e-05
4.009685263511e-09,1.2,4.009685263511e-09,0,4.009685263511e-09,0.5772651901983421,4.009685263511e-09,0.2264580753077127,4.009685263511e-09,1.2,4.009685263511e-09,1.2,4.009685263511e-09,-4.097926602373929e-05
4.012120534029e-09,1.2,4.012120534029e-09,0,4.012120534029e-09,0.7281910980511817,4.012120534029e-09,0.1058470150152295,4.012120534029e-09,1.2,4.012120534029e-09,1.2,4.012120534029e-09,-3.57076761702361e-05
4.013994907836e-09,1.2,4.013994907836e-09,0,4.013994907836e-09,0.8542288435972151,4.013994907836e-09,0.05678915284065841,4.013994907836e-09,1.2,4.013994907836e-09,1.2,4.013994907836e-09,-3.010092898622599e-05
4.016423445454999e-09,1.2,4.016423445454999e-09,0,4.016423445454999e-09,0.993794595734802,4.016423445454999e-09,0.02844642959417201,4.016423445454999e-09,1.2,4.016423445454999e-09,1.2,4.016423445454999e-09,-1.97588993986026e-05
4.018203245831999e-09,1.2,4.018203245831999e-09,0,4.018203245831999e-09,1.062991422792748,4.018203245831999e-09,0.01793891561108297,4.018203245831999e-09,1.2,4.018203245831999e-09,1.2,4.018203245831999e-09,-1.341506148081838e-05
