metric_group,case,corner,corner_label,value,unit,reference_case,reference_value,reference_unit,delta_value,delta_unit,delta_percent,source_files,notes
Hold-Window Supply Energy,High Vt,ss_1V,SS 1.0 V,15.728365,aJ,Baseline,15.220161,aJ,0.508205,aJ,3.339023,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/high_vt/trans_vt_opt_ff.csv; sim_data/optimized/high_vt/trans_vt_opt_tt.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_1V.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_0.8V.csv,Integrated 6-9 ns supply energy used as the leakage-related High-Vt trend.
Hold-Window Supply Energy,High Vt,tt,TT 1.0 V,17.753874,aJ,Baseline,20.620747,aJ,-2.866873,aJ,-13.902855,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/high_vt/trans_vt_opt_ff.csv; sim_data/optimized/high_vt/trans_vt_opt_tt.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_1V.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_0.8V.csv,Integrated 6-9 ns supply energy used as the leakage-related High-Vt trend.
Write Delay,Negative BL,ff,FF 1.2 V,8.501688,ps,Baseline,15.182255,ps,-6.680567,ps,-44.002466,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,Assisted reverse-write WL-to-Q delay from the Cadence transient runs.
Write Delay,Negative BL,ss_0.8V,SS 0.8 V,23.275429,ps,Baseline,85.623192,ps,-62.347763,ps,-72.816443,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,Assisted reverse-write WL-to-Q delay from the Cadence transient runs.
Write Delay,Negative BL,ss_1V,SS 1.0 V,13.862195,ps,Baseline,34.435547,ps,-20.573352,ps,-59.744519,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,Assisted reverse-write WL-to-Q delay from the Cadence transient runs.
Write Delay,Negative BL,tt,TT 1.0 V,9.638089,ps,Baseline,21.166639,ps,-11.528550,ps,-54.465664,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,Assisted reverse-write WL-to-Q delay from the Cadence transient runs.
Read SNM,WL Underdrive,ff,FF 1.2 V,315.827457,mV,Baseline,222.939201,mV,92.888255,mV,41.665286,sim_data/optimized/wordline_underdrive/read_snm_opt_ff.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_tt.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_ss.csv,Wordline-underdrive read SNM compared against the baseline bitcell.
Read SNM,WL Underdrive,ss_1V,SS 1.0 V,309.244969,mV,Baseline,224.231356,mV,85.013612,mV,37.913347,sim_data/optimized/wordline_underdrive/read_snm_opt_ff.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_tt.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_ss.csv,Wordline-underdrive read SNM compared against the baseline bitcell.
Read SNM,WL Underdrive,tt,TT 1.0 V,297.353356,mV,Baseline,212.490719,mV,84.862637,mV,39.937103,sim_data/optimized/wordline_underdrive/read_snm_opt_ff.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_tt.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_ss.csv,Wordline-underdrive read SNM compared against the baseline bitcell.
Read Disturb,WL Underdrive,ff,FF 1.2 V,109.746572,mV,Baseline,189.362419,mV,-79.615848,mV,-42.044165,sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,QB read-disturb magnitude measured during the read pulse.
Read Disturb,WL Underdrive,ss_0.8V,SS 0.8 V,16.859480,mV,Baseline,61.397008,mV,-44.537528,mV,-72.540225,sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,QB read-disturb magnitude measured during the read pulse.
Read Disturb,WL Underdrive,ss_1V,SS 1.0 V,36.033402,mV,Baseline,100.404850,mV,-64.371448,mV,-64.111891,sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,QB read-disturb magnitude measured during the read pulse.
Read Disturb,WL Underdrive,tt,TT 1.0 V,51.056955,mV,Baseline,119.437676,mV,-68.380721,mV,-57.252220,sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,QB read-disturb magnitude measured during the read pulse.
Write Noise Margin,Negative BL,tt,TT 1.0 V,444.442490,mV,NA,NA,NA,NA,NA,NA,sim_data/optimized/negative_bitline/negbl_writenm_tt.csv,Static write-noise-margin result available only for the TT negative-bitline case.
