case,capacity_bytes,total_bits,rows,columns,word_width_bits,banks,technology_node_nm,read_latency_ns,write_latency_ns,read_energy_pj,write_energy_pj,leakage_power_uw,area_um2,area_mm2,bitcell_hold_snm_mv_tt,bitcell_read_snm_mv_tt,bitcell_write_nm_mv_tt,write_delay_ps_tt,read_disturb_mv_tt,applied_macro_scaling,cadence_supported_trend,notes
Baseline,2048,16384,128,128,8,1,45,0.882077,0.882077,1.354000,0.321000,0.485401,6196.781000,0.006197,422.318398,212.490719,361.685074,21.166639,119.437676,none,Cadence baseline TT bitcell metrics attached as nominal support data.,Reference NVSim macro topology with 8-bit words and 16x column selection. No assist or device scaling applied.
High Vt,2048,16384,128,128,8,1,45,0.882077,0.882077,1.354000,0.321000,0.417916,6196.781000,0.006197,406.018277,190.888726,NA,20.698909,119.436318,IoffScale=0.861 from TT 6-9 ns hold-window energy ratio,TT hold-window supply energy -13.9% and TT read SNM -10.2% versus baseline.,"NVSim supports leakage scaling through IoffScale, so only macro leakage is adjusted. Latency, energy, and area remain the same topology estimate."
Negative BL,2048,16384,128,128,8,1,45,0.882077,0.882077,1.354000,0.321000,0.485401,6196.781000,0.006197,NA,NA,444.442490,9.638089,119.437676,none,TT assisted write delay -54.5% (21.2 ps to 9.6 ps) versus baseline.,"This NVSim build does not model negative bitline assist directly, so the baseline macro is reused and the assist benefit is reported from Cadence bitcell transients."
WL Underdrive,2048,16384,128,128,8,1,45,0.882077,0.882077,1.354000,0.321000,0.485401,6196.781000,0.006197,NA,297.353356,NA,NA,51.056955,none,TT read SNM +39.9% and TT read disturb -57.3% versus baseline.,"This NVSim build does not model reduced read wordline swing directly, so the baseline macro is reused and read-stability improvements are reported from Cadence."
